Nome,ProcessName
ESET Remote Administrator,eraagent.exe
Jump Desktop,jumpdesktop.exe
BeamYourScreen,beamyourscreen.exe
SmarTTY,SmarTTY.exe
MioNet (WD Anywhere Access),
TeleDesktop,
Splashtop Remote,
RustDesk,rustdesk.exe
DeskNets,
NinjaOne (formerly NinjaRMM),NinjaRMMAgent.exe
RES Automation Manager,
BeInSync,
Tanium Deploy,TaniumClient.exe
Bluetrait,
CentraStage (Now Datto),CagService.exe
N-Able Advanced Monitoring Agent,
Pcnow,pcnow.exe
SunLogin,SunloginClient.exe
DameWare,"DWRCS.exe, DWRCC.exe"
LANDesk,
OptiTune,
GoToAssist,
NoteOn-desktop sharing,
MobaXterm,MobaXterm.exe
ezHelp,
ConnectWise Control,"ScreenConnect.Service.exe, ScreenConnect.ClientService.exe, ScreenConnect.WindowsClient.exe"
RemoteUtilities,"rutserv.exe, rutview.exe"
Jump Cloud,jumpcloud-agent.exe
X2Go,x2goclient.exe
NetLock RMM,
Pulseway,"Pulseway.exe, PulsewaySvc.exe"
Panorama9,p9agent.exe
Chrome Remote Desktop,remoting_host.exe
WebRDP,
PSEXEC,PsExec.exe
Insync,insync.exe
GoToMyPC,g2ax_service.exe
SuperPuTTY,SuperPuTTY.exe
ToDesk,ToDesk.exe
Remote Utilities,
FreeRDP,wfreerdp.exe
Pcvisit,pcvisit.exe
Acronis Cyber Protect (Remotix),
RemotePass,
FastViewer,FastViewer.exe
Microsoft TSC,
Lite Manager,
Mocha VNC Lite,
WebEx (Remote Access),
Anyplace Control,AnyplaceControl.exe
Site24x7,Site24x7Agent.exe
Seetrol,
Distant Desktop,DistantDesktop.exe
Duplicati,"Duplicati.GUI.TrayIcon.exe, Duplicati.Server.exe"
Mikogo,mikogo.exe
N-ABLE Remote Access Software,
VNC Connect,"vncserver.exe, vncviewer.exe"
Atera,AteraAgent.exe
CrossTec Remote Control,
FixMe.it,
Level.io,
Access Remote PC,
GoTo Opener,
NetSupport Manager,client32.exe
ZOC,zoc.exe
RunSmart,
Zoho Assist,"ZohoAssist.exe, ZohoTray.exe, Join.exe"
RustDesk,rustdesk.exe
GoToMyPC,g2ax_service.exe
Chrome Remote Desktop,remoting_host.exe
NoMachine,"nxplayer.exe, nxservice.exe"
RemotePC,"RemotePCService.exe, RemotePCHost.exe"
ExpressVPN,"expressvpn.exe, expressvpnd.exe"
Surfshark,"Surfshark.exe, Surfshark.Service.exe"
CyberGhos,CyberGhost.exe
PrivadoVPN,PrivadoVPN.exe
Proton VPN,"ProtonVPN.exe, ProtonVPNService.exe"
Norton VPN,
Psiphon,psiphon.exe
OpenVPN,"openvpn.exe, openvpnserv2.exe, openvpn-gui.exe"
SoftEther VPN,"vpnclient_x64.exe, vpnclient.exe, vpnserver.exe"
Tabby,tabby.exe
Remotely,
Nebula,
