Coluna1;Column7;Column8;Column9;Column18
ScreenMeet;;;;ScreenMeetSupport.exe, ScreenMeet.Support.exe
Naverisk;;;;AgentSetup-*.exe
ConnectWise;;;;C:\Program Files (x86)\ScreenConnect Client (<string ID>)\*, *\ScreenConnect*Client*\*
FreeNX;;;;C:\*\nxplayer.exe, *\nxplayer.exe
KiTTY;;;;C:\*\kitty.exe, *\kitty.exe
DragonDisk;;;;C:\Program Files (x86)\Almageste\DragonDisk\*, *\Almageste\DragonDisk\*, *\DragonDisk.exe
Pocket Controller;;;;pocketcontroller.exe, pocketcloudservice.exe, wysebrowser.exe
Remmina;;;;
Neturo;;;;neturo*.exe, ntrntservice.exe, neturo.exe
Electric AI (Kaseya);;;;
GoToAssist Agent Desktop Console;;;;C:\*\G2RDesktopConsole-x64.msi, *\G2RDesktopConsole-x64.msi
Syspectr;;;;oo-syspectr*.exe, OOSysAgent.exe
Parallels Access;;;;parallelsaccess-*.exe, TSClient.exe, prl_deskctl_agent.exe, prl_deskctl_wizard.exe, prl_pm_service.exe
BeyondTrust (Bomgar);;;;bomgar-scc-*.exe, bomgar-scc.exe, bomgar-pac-*.exe, bomgar-pac.exe, bomgar-rdp.exe
Kaseya (VSA);;agentmon.exe;;C:\Program Files (x86)\Kaseya\, C:\ProgramData\Kaseya\
ServerEye;;;;servereye*.exe, ServiceProxyLocalSys.exe
pcAnywhere;;;;awhost32.exe, awrem32.exe, pcaquickconnect.exe, winaw32.exe
NoMachine;;;;nomachine*.exe, nxservice*.ese, nxd.exe
DeskDay;;;;ultimate_*.exe
S3 Browser;;;;C:\Program Files (x86)\S3 Browser\*, *\S3 Browser\*, *\s3browser*.exe
Comodo RMM;;;;itsmagent.exe, rviewer.exe
Tactical RMM;;;;tacticalrmm.exe, tacticalrmm.exe
Bitvise SSH Server;;;;C:\Program Files\Bitvise SSH Server\*, *\Bitvise SSH Server\*, *\BvSshServer-Inst.exe
DW Service;;;;dwagsvc.exe, dwagent.exe, dwagsvc.exe
TigerVNC;;;;tigervnc*.exe, winvnc4.exe, C:\Program Files\TightVNC\*, *\TightVNC\*, *\tvnserver.exe
SmartCode Web VNC;;;;C:\Program Files\TightVNC\*, *\TightVNC\*
RDPView;;;;dwrcs.exe
Visual Studio Dev Tunnel;;;;
Impero Connect;;;;ImperoClientSVC.exe
KHelpDesk;;;;KHelpDesk.exe
IntelliAdmin Remote Control;;;;iadmin.exe, intelliadmin.exe, agent32.exe, agent64.exe, agent_setup_5.exe
Any Support;;;;ManualLauncher.exe
MEGAsync;;;;C:\Users\*\AppData\Local\MEGAsync\*, *Users\*\AppData\Local\MEGAsync\*, *ProgramData\MEGAsync\*, *\MEGAsyncSetup64.exe, *\MEGAupdater.exe
Instant Housecall;;;;hsloader.exe, InstantHousecall.exe, ihcserver.exe, instanthousecall.exe
Rocket Remote Desktop;;;;RDConsole.exe, RocketRemoteDesktop_Setup.exe
Level;https://level.io/;level.exe;;C:\Program Files\Level\*
Chrome SSH Extension;;;;C:\Users\*\AppData\Local\Google\Chrome\User Data\Default\Extensions\iodihamcpbpeioajjeobimgagajmlibd*, *Users\*\AppData\Local\Google\Chrome\User Data\Default\Extensions\iodihamcpbpeioajjeobimgagajmlibd*
Guacamole;;;;guacd.exe
Iperius Remote;;;;iperius.exe, iperiusremote.exe
Remcos;;;;remcos*.exe
ISL Online;;;;*\ISLLight.exe, isllight.exe, ISLLightClient.exe, C:\Program Files (x86)\ISL Online\ISL Light*, *\ISL Online\ISL Light*, ISLLight.exe, isllightservice.exe, islalwaysonmonitor.exe
N-Able Advanced Monitoring Agent;;;;BASupSrvc.exe, winagent.exe, BASupApp.exe, BASupTSHelper.exe, Agent_*_RW.exe, BASEClient.exe, BASupSrvcCnfg.exe
NordLocker;;;;
Ammyy Admin;https://www.ammyy.com;AA_v3.exe;;C:\\ProgramData\\AMMYY\\*, AMMYY_Admin.exe, aa_v*.exe, C:\Users\*\Downloads\AMMYY_Admin.exe, *\AMMYY_Admin.exe
Sorillus;;;;Sorillus-Launcher*.exe, Sorillus Launcher.exe
Pandora RC (eHorus);;;;ehorus standalone.exe, ehorus_agent.exe
JollysFastVNC;;;;
I'm InTouch;;;;iit.exe, intouch.exe, I'm InTouch Go Installer.exe
Parsec;https://parsec.app/;parsecd.exe;;C:\Program Files\Parsec\*, parsecd.exe, pservice.exe
MyIVO;;;;myivomgr.exe, myivomanager.exe
UltraViewer;;;;UltraViewer_Service.exe, UltraViewer_setup*, UltraViewer_Desktop.exe, ultraviewer.exe, C:\Program Files (x86)\UltraViewer\UltraViewer_Desktop.exe, *\UltraViewer\, *\UltraViewer_Desktop.exe, ultraviewer_desktop.exe, ultraviewer_service.exe, UltraViewer_Desktop.exe, UltraViewer_setup*, UltraViewer_Service.exe
Auvik;;;;auvik.engine.exe, auvik.agent.exe
Terminals;;;;
RemotePC;;;;C:\Program Files (x86)\RemotePC\*, Idrive.File-Transfer, *\RemotePC\*, remotepcservice.exe, RemotePC.exe, remotepchost.exe, idrive.RemotePCAgent, rpcsuite.exe, *\RemotePCService.exe, RemotePCService.exe
SimpleHelp;;;;simplehelpcustomer.exe, simpleservice.exe, simplegatewayservice.exe, remote access.exe, windowslauncher.exe
